CRASH DATE,hour,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3
1/2/2020,2,40.7572330,-73.9898000,1,0,1,0,Unspecified,,
1/2/2020,12,40.7440150,-74.0085100,2,0,0,0,Driver Inattention/Distraction,Unspecified,
1/2/2020,23,40.7858050,-73.9726800,0,0,0,0,Obstruction/Debris,,
1/2/2020,10,40.7961960,-73.9687960,0,0,0,0,Passing Too Closely,Unspecified,
1/2/2020,16,40.7571030,-73.9862000,1,0,1,0,Unspecified,,
1/2/2020,21,40.7119330,-74.0098500,1,0,0,0,Driver Inattention/Distraction,Unspecified,
1/2/2020,12,40.8370320,-73.9427260,0,0,0,0,Unspecified,Unspecified,
1/2/2020,9,40.8082240,-73.9367300,0,0,0,0,Unspecified,Unspecified,
1/2/2020,21,40.7784770,-73.9854600,0,0,0,0,Following Too Closely,Following Too Closely,Unspecified
1/2/2020,9,40.8300900,-73.9400600,0,0,0,0,Other Vehicular,Other Vehicular,
1/2/2020,18,40.7650800,-73.9850000,0,0,0,0,Passing Too Closely,Unspecified,
1/2/2020,16,40.7256430,-73.9920700,1,0,0,0,Turning Improperly,Unspecified,
1/2/2020,12,40.8281500,-73.9349100,1,0,0,0,Driver Inattention/Distraction,Unspecified,
1/2/2020,7,40.7487600,-73.9931800,0,0,0,0,Unspecified,Unspecified,
1/2/2020,6,40.7151700,-73.9972200,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/2/2020,14,40.7800640,-73.9470500,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/2/2020,20,40.7503170,-73.9911200,0,0,0,0,Unspecified,Unspecified,
1/2/2020,17,40.7518270,-73.9847700,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/2/2020,18,,,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
1/2/2020,12,40.8377650,-73.9475900,0,0,0,0,Lost Consciousness,,
1/3/2020,11,40.7560350,-73.9869500,0,0,0,0,Unspecified,Unspecified,
1/3/2020,18,40.7716100,-73.9904600,1,0,1,0,Driver Inattention/Distraction,,
1/3/2020,9,40.7269300,-73.9966660,0,0,0,0,Following Too Closely,Unspecified,
1/3/2020,19,40.7575720,-73.9807600,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,
1/3/2020,23,40.7681200,-73.9588700,1,0,1,0,Failure to Yield Right-of-Way,,
1/3/2020,21,40.8461530,-73.9323350,0,0,0,0,Following Too Closely,Unspecified,
1/3/2020,23,40.7592600,-73.9920500,0,0,0,0,Unsafe Lane Changing,Unspecified,
1/3/2020,1,40.7422830,-74.0044250,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,
1/3/2020,6,40.7401120,-73.9822200,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
1/3/2020,8,40.7241360,-73.9926150,0,0,0,0,Other Vehicular,Unspecified,
1/3/2020,21,40.7586860,-73.9853300,0,0,0,0,Unspecified,Unspecified,
1/3/2020,7,40.8020200,-73.9496900,1,0,1,0,Failure to Yield Right-of-Way,,
1/3/2020,18,40.7489850,-73.9799650,2,0,0,0,Driver Inattention/Distraction,Unsafe Speed,Unspecified
1/3/2020,10,40.8285000,-73.9377900,0,0,0,0,Backing Unsafely,Unspecified,
1/3/2020,8,40.8058700,-73.9528100,0,0,0,0,Driver Inattention/Distraction,Unsafe Lane Changing,
1/3/2020,9,40.7231830,-73.9825900,1,0,1,0,Unspecified,,
1/3/2020,18,40.8441350,-73.9375200,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/3/2020,11,40.8185160,-73.9376500,0,0,0,0,Turning Improperly,Unspecified,
1/3/2020,20,40.7629660,-73.9739760,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,
1/3/2020,16,40.7049520,-74.0156600,0,0,0,0,Unspecified,Unspecified,
1/3/2020,12,40.7303200,-74.0046900,0,0,0,0,Pavement Slippery,Unspecified,
1/3/2020,7,40.7213500,-74.0046500,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
1/3/2020,10,40.8038940,-73.9520400,0,0,0,0,Passing Too Closely,Unspecified,
1/3/2020,15,40.8488300,-73.9401700,0,0,0,0,Unspecified,Unspecified,
1/3/2020,21,40.8379670,-73.9406200,0,0,0,0,Unspecified,Unspecified,Unspecified
1/3/2020,10,40.7774100,-73.9788060,0,0,0,0,Following Too Closely,Unspecified,
1/3/2020,7,40.7514840,-73.9976900,0,0,0,0,Failure to Yield Right-of-Way,,
1/3/2020,7,40.8048480,-73.9370700,0,0,0,0,Unspecified,Unspecified,
1/3/2020,14,40.7458230,-74.0018160,0,0,0,0,Following Too Closely,Unspecified,
1/3/2020,21,40.7379230,-73.9838000,0,0,0,0,Driver Inexperience,Unspecified,
1/3/2020,22,40.7199700,-73.9929050,2,0,1,0,Unspecified,,
1/3/2020,16,40.7629660,-73.9819000,0,0,0,0,Other Vehicular,Other Vehicular,Unsafe Lane Changing
1/3/2020,4,40.7947350,-73.9698800,0,0,0,0,Unspecified,,
1/3/2020,7,40.8416300,-73.9410400,0,0,0,0,Other Vehicular,,
1/3/2020,21,40.8075500,-73.9529100,1,0,1,0,Failure to Yield Right-of-Way,,
1/3/2020,12,40.7199330,-73.9787600,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/3/2020,7,40.7786060,-73.9816300,0,0,0,0,Driver Inattention/Distraction,,
1/3/2020,5,40.7548750,-73.9685300,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
1/3/2020,6,40.7241740,-74.0022660,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/3/2020,10,40.7464030,-73.9797300,1,0,1,0,Driver Inattention/Distraction,,
1/3/2020,4,40.7541770,-73.9846040,0,0,0,0,Following Too Closely,Unspecified,
1/3/2020,8,40.7329250,-74.0000700,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
1/3/2020,1,40.7986220,-73.9416300,0,0,0,0,Unspecified,Unspecified,
1/3/2020,17,40.8092840,-73.9481100,0,0,0,0,Following Too Closely,Driver Inexperience,Unspecified
1/3/2020,13,40.7479930,-74.0039700,0,0,0,0,Backing Unsafely,Unspecified,
1/3/2020,3,40.8430370,-73.9349000,1,0,0,0,Other Vehicular,Backing Unsafely,
1/4/2020,14,40.7703130,-73.9914100,0,0,0,0,Unspecified,Unspecified,
1/4/2020,12,40.8053930,-73.9409000,0,0,0,0,Driver Inexperience,Unspecified,
1/4/2020,13,40.7213500,-74.0046500,0,0,0,0,Passing Too Closely,Unspecified,
1/4/2020,20,40.7371940,-73.9832800,0,0,0,0,View Obstructed/Limited,Unspecified,
1/4/2020,21,40.7263900,-73.9918000,1,0,0,0,Driver Inattention/Distraction,Unspecified,
1/4/2020,22,40.7077000,-74.0155000,1,0,0,0,Following Too Closely,Unspecified,Unspecified
1/4/2020,3,40.7508280,-74.0018900,0,0,0,0,Passing or Lane Usage Improper,Unsafe Lane Changing,
1/4/2020,23,40.7454400,-73.9754000,0,0,0,0,Following Too Closely,Unspecified,
1/4/2020,18,40.7428320,-74.0077100,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,
1/4/2020,14,40.7470700,-73.9910700,1,0,0,0,Driver Inattention/Distraction,Unspecified,
1/4/2020,23,40.7606930,-73.9685600,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/4/2020,0,40.8139460,-73.9367500,0,0,0,0,Unspecified,Unspecified,
1/4/2020,4,40.7315100,-73.9855700,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified
1/4/2020,23,40.7611730,-73.9578900,0,0,0,0,Unspecified,Unspecified,
1/4/2020,20,40.8057370,-73.9406500,1,0,1,0,Unspecified,,
1/4/2020,17,40.7998800,-73.9386100,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/4/2020,14,40.7404700,-73.9982900,0,0,0,0,Other Vehicular,Following Too Closely,
1/4/2020,22,40.7483020,-73.9783500,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/4/2020,18,40.7540970,-73.9720400,0,0,0,0,View Obstructed/Limited,Passing Too Closely,
1/4/2020,22,40.7359900,-73.9894600,0,0,0,0,Failure to Yield Right-of-Way,,
1/4/2020,18,40.8411500,-73.9426960,0,0,0,0,Backing Unsafely,Unspecified,
1/4/2020,1,40.7485160,-73.9906600,1,0,0,0,Driver Inattention/Distraction,Unspecified,
1/4/2020,14,40.8064100,-73.9422700,1,0,1,0,,,
1/4/2020,9,40.7806930,-73.9466000,0,0,0,0,Following Too Closely,Unspecified,
1/4/2020,15,40.7049520,-74.0090600,0,0,0,0,Passing Too Closely,Passing or Lane Usage Improper,
1/4/2020,12,40.7326430,-73.9815700,1,0,1,0,Driver Inattention/Distraction,,
1/4/2020,14,40.7184300,-74.0005340,0,0,0,0,Passing Too Closely,Unspecified,
1/4/2020,9,40.7657740,-73.9846600,0,0,0,0,Oversized Vehicle,Unspecified,
1/4/2020,16,40.7416420,-74.0048700,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/4/2020,17,40.7595140,-73.9992600,0,0,0,0,Following Too Closely,Unspecified,
1/4/2020,4,40.7700730,-73.9514100,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
1/4/2020,12,40.7394940,-73.9766300,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/4/2020,18,40.8371600,-73.9464600,0,0,0,0,Unspecified,,
1/4/2020,7,40.8414000,-73.9405500,0,0,0,0,Unspecified,Unspecified,
1/4/2020,20,40.7346460,-73.9903600,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
1/4/2020,16,40.8626140,-73.9286040,0,0,0,0,Unspecified,,
1/5/2020,17,40.7097300,-74.0068000,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
1/5/2020,6,40.7566640,-73.9844060,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,
1/5/2020,15,40.7515220,-73.9802300,1,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,
1/5/2020,15,40.7137950,-73.9934200,1,0,0,0,Driver Inattention/Distraction,Unspecified,
1/5/2020,16,40.7513600,-73.9798700,0,0,0,0,Passenger Distraction,Passing Too Closely,
1/5/2020,18,40.7464900,-74.0013350,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/5/2020,17,40.8228340,-73.9419250,0,0,0,0,Other Vehicular,Other Vehicular,
1/5/2020,15,40.7559280,-73.9749100,0,0,0,0,Turning Improperly,Unspecified,
1/5/2020,2,40.7293850,-73.9871140,0,0,0,0,Unspecified,Unspecified,
1/5/2020,11,40.7612340,-73.9638900,0,0,0,0,Unspecified,Unspecified,
1/5/2020,17,40.8614700,-73.9250000,0,0,0,0,Unspecified,,
1/5/2020,1,40.7396930,-73.9846040,0,0,0,0,Unspecified,Unspecified,
1/5/2020,3,40.7253760,-73.9894100,0,0,0,0,Unspecified,Unspecified,
1/5/2020,9,40.7438930,-73.9717000,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,
1/5/2020,17,40.7622900,-73.9861150,1,0,1,0,Failure to Yield Right-of-Way,,
1/5/2020,9,40.7585950,-73.9949650,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/5/2020,14,40.8098870,-73.9513700,1,0,1,0,Driver Inattention/Distraction,,
1/5/2020,21,40.7858660,-73.9509350,0,0,0,0,Following Too Closely,Unspecified,
1/5/2020,15,40.8308450,-73.9472350,0,0,0,0,Unspecified,Unspecified,
1/5/2020,9,40.7328450,-73.9959260,1,0,0,0,Passing or Lane Usage Improper,Unspecified,
1/5/2020,21,40.7631400,-73.9842700,0,0,0,0,Backing Unsafely,Unspecified,
1/5/2020,18,40.7678600,-73.9640800,1,0,1,0,Failure to Yield Right-of-Way,,
1/5/2020,0,40.7313600,-73.9825700,0,0,0,0,Following Too Closely,Unspecified,
1/5/2020,6,40.7642860,-73.9556200,0,0,0,0,Alcohol Involvement,,
1/5/2020,4,40.7466160,-73.9938200,0,0,0,0,Unspecified,,
1/5/2020,14,40.7802400,-73.9613650,1,0,1,0,Unspecified,,
1/5/2020,12,40.7284550,-73.9837100,0,0,0,0,Unspecified,,
1/5/2020,13,40.7611730,-73.9578900,2,0,0,0,Unspecified,Unspecified,
1/5/2020,15,40.8057300,-73.9385500,1,0,0,0,Driver Inattention/Distraction,Unspecified,
1/5/2020,10,40.7571450,-73.9935700,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/5/2020,18,40.7752460,-73.9476300,0,0,0,0,Turning Improperly,Driver Inexperience,
1/5/2020,22,,,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/5/2020,15,40.7573100,-73.9879100,1,0,0,0,Unspecified,Unspecified,
1/5/2020,17,40.7400100,-73.9865200,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
1/5/2020,20,,,0,0,0,0,Brakes Defective,Unspecified,
1/5/2020,14,40.7167300,-74.0020800,0,0,0,0,Following Too Closely,Unspecified,
1/5/2020,4,40.7904050,-73.9715700,0,0,0,0,Backing Unsafely,Unspecified,
1/5/2020,16,40.7183840,-73.9977900,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/5/2020,1,40.7417760,-73.9809950,0,0,0,0,Unspecified,,
1/5/2020,3,40.7634280,-73.9652200,0,0,0,0,Unspecified,Unspecified,
1/5/2020,23,40.7131350,-74.0040700,1,0,0,0,Turning Improperly,Unspecified,
1/5/2020,21,40.7514100,-73.9838300,0,0,0,0,Driver Inattention/Distraction,,
1/6/2020,6,40.7507630,-73.9744600,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
1/6/2020,20,40.7446940,-73.9970500,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified
1/6/2020,14,40.7141650,-74.0063200,0,0,0,0,Passing Too Closely,Unspecified,
1/6/2020,0,40.7291950,-73.9901600,0,0,0,0,Unspecified,,
1/6/2020,18,40.7852970,-73.9555740,0,0,0,0,Following Too Closely,Unspecified,
1/6/2020,18,40.8074380,-73.9387300,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/6/2020,10,40.8059580,-73.9510960,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/6/2020,14,40.8368000,-73.9455900,0,0,0,0,Passing Too Closely,Unspecified,
1/6/2020,13,40.8510930,-73.9324400,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/6/2020,19,40.7483020,-73.9783500,1,0,0,0,Unspecified,Unspecified,
1/6/2020,7,,,0,0,0,0,Other Vehicular,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,
1/6/2020,18,40.7144050,-73.9902300,0,0,0,0,Unspecified,Unspecified,
1/6/2020,17,40.7354300,-73.9827040,0,0,0,0,Unspecified,Unspecified,
1/6/2020,1,40.8133740,-73.9562760,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,
1/6/2020,14,40.7269330,-73.9837600,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/6/2020,9,40.7377970,-73.9901300,0,0,0,0,Following Too Closely,Unspecified,
1/6/2020,14,40.7523960,-73.9723300,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/6/2020,11,40.7494600,-73.9830250,1,0,1,0,Unspecified,,
1/6/2020,9,40.7741550,-73.9848860,0,0,0,0,Unsafe Lane Changing,Unspecified,
1/6/2020,19,40.7427180,-73.9902650,0,0,0,0,Unspecified,,
1/6/2020,9,40.8067400,-73.9510000,0,0,0,0,Passing or Lane Usage Improper,Passing Too Closely,
1/6/2020,11,40.8410300,-73.9446300,0,0,0,0,Driver Inattention/Distraction,Passenger Distraction,
1/6/2020,15,40.7577320,-73.9968600,0,0,0,0,Driver Inexperience,Unspecified,
1/6/2020,13,40.7839360,-73.9523500,0,0,0,0,Backing Unsafely,Unspecified,
1/6/2020,13,,,0,0,0,0,Following Too Closely,Unspecified,
1/6/2020,17,40.8087350,-73.9447800,2,0,0,0,Unsafe Lane Changing,Following Too Closely,
1/6/2020,19,40.7678030,-73.9560100,0,0,0,0,Unspecified,Unspecified,
1/6/2020,12,40.8029630,-73.9564300,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/6/2020,17,40.7182240,-73.9872200,0,0,0,0,Unsafe Lane Changing,Unspecified,
1/6/2020,22,40.7366000,-73.9818500,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
1/6/2020,9,40.8050420,-73.9369350,1,0,1,0,Driver Inattention/Distraction,,
1/6/2020,5,40.7564960,-73.9880750,0,0,0,0,Following Too Closely,Unspecified,
1/6/2020,17,40.7690050,-73.9923550,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,
1/6/2020,9,40.7081220,-74.0009700,0,0,0,0,Unspecified,Unspecified,
1/6/2020,11,40.7749560,-73.9610200,1,0,0,0,Driver Inattention/Distraction,Unspecified,
1/6/2020,20,40.7558020,-73.9864040,0,0,0,0,Passing Too Closely,Unspecified,
1/7/2020,8,40.7507360,-73.9870800,0,0,0,0,Unspecified,Unspecified,
1/7/2020,20,40.7909400,-73.9472350,1,0,1,0,Failure to Yield Right-of-Way,,
1/7/2020,20,40.8343500,-73.9446900,1,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,
1/7/2020,18,40.7432250,-74.0086440,0,0,0,0,Following Too Closely,Unspecified,
1/7/2020,22,40.8368570,-73.9379800,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/7/2020,18,40.7902220,-73.9415200,1,0,1,0,Unspecified,,
1/7/2020,13,40.7961000,-73.9377900,0,0,0,0,Unspecified,Unspecified,
1/7/2020,5,40.7641680,-73.9847400,0,0,0,0,Other Vehicular,Other Vehicular,Driver Inattention/Distraction
1/7/2020,10,40.7883150,-73.9765100,0,0,0,0,Other Vehicular,Other Vehicular,
1/7/2020,23,40.7500150,-73.9913560,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/7/2020,17,40.7207640,-73.9906300,0,0,0,0,Other Lighting Defects,Unspecified,
1/7/2020,15,40.8029980,-73.9479200,0,0,0,0,Driver Inexperience,Unspecified,
1/7/2020,6,40.8043750,-73.9374200,0,0,0,0,Unspecified,Unspecified,
1/7/2020,9,40.7734640,-73.9614300,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
1/7/2020,7,40.8468000,-73.9318540,0,0,0,0,Unspecified,Unspecified,
1/7/2020,6,,,0,0,0,0,Following Too Closely,Following Too Closely,
1/7/2020,7,40.7608570,-73.9610750,0,0,0,0,Unspecified,,
1/7/2020,8,40.7265430,-73.9860800,1,0,0,0,Backing Unsafely,Unspecified,
1/7/2020,10,40.7646800,-73.9643000,0,0,0,0,Traffic Control Disregarded,Unspecified,
1/7/2020,16,40.7999900,-73.9681400,0,0,0,0,Backing Unsafely,Unspecified,
1/7/2020,23,40.7379150,-73.9922300,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/7/2020,21,40.7589500,-73.9684900,1,0,1,0,Failure to Yield Right-of-Way,,
1/7/2020,11,40.7140270,-73.9906300,0,0,0,0,Backing Unsafely,Unspecified,
1/7/2020,16,40.7248900,-74.0036700,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/7/2020,11,40.7427180,-73.9902650,0,0,0,0,Passing Too Closely,Unspecified,
1/7/2020,14,40.7557560,-73.9647900,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,
1/7/2020,18,40.7584270,-73.9926400,0,0,0,0,Oversized Vehicle,Unspecified,
1/7/2020,1,40.8209200,-73.9433300,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/7/2020,17,40.8007500,-73.9586600,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,
1/7/2020,9,40.8344000,-73.9409260,0,0,0,0,Unspecified,Unspecified,
1/7/2020,16,,,0,0,0,0,Following Too Closely,Unspecified,
1/7/2020,19,40.7570720,-73.9698600,1,0,0,0,Backing Unsafely,Unspecified,
1/7/2020,16,40.7763200,-73.9600200,0,0,0,0,Unspecified,Unspecified,
1/7/2020,18,40.7264370,-74.0056600,1,0,1,0,Driver Inattention/Distraction,,
1/7/2020,8,40.7081200,-74.0098340,0,0,0,0,Backing Unsafely,Unspecified,
1/7/2020,15,40.8048930,-73.9370350,0,0,0,0,Unspecified,Unspecified,
1/7/2020,9,40.7979160,-73.9638500,0,0,0,0,Other Vehicular,Unspecified,Unspecified
1/7/2020,21,40.8154030,-73.9399200,1,0,0,0,Following Too Closely,Other Vehicular,
1/7/2020,16,,,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
1/7/2020,10,40.7653100,-73.9638500,2,0,0,0,Traffic Control Disregarded,Unspecified,
1/7/2020,17,40.7642800,-73.9730200,1,0,1,0,Unspecified,,
1/7/2020,22,40.7976800,-73.9677350,1,0,0,0,Unsafe Lane Changing,Unspecified,
1/7/2020,11,40.7738720,-73.9822300,1,0,1,0,Driver Inattention/Distraction,,
1/7/2020,11,40.7633670,-73.9789800,1,0,1,0,Unsafe Speed,,
1/7/2020,11,40.7642860,-73.9556200,0,0,0,0,Following Too Closely,Unspecified,
1/7/2020,3,40.8486250,-73.9342500,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,
1/7/2020,8,40.7461970,-73.9890060,0,0,0,0,Unspecified,,
1/7/2020,20,40.7208400,-74.0006600,0,0,0,0,Driver Inexperience,Failure to Yield Right-of-Way,
1/8/2020,18,40.7955200,-73.9321700,0,0,0,0,Unspecified,Unspecified,
1/8/2020,9,40.8369180,-73.9380800,0,0,0,0,Unspecified,,
1/8/2020,9,40.7114000,-74.0062100,0,0,0,0,Passing Too Closely,Unspecified,
1/8/2020,20,40.7507630,-73.9744600,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,
1/8/2020,14,40.7236370,-73.9872740,0,0,0,0,Backing Unsafely,Unspecified,
1/8/2020,5,,,0,0,0,0,Reaction to Uninvolved Vehicle,,
1/8/2020,17,40.8709220,-73.9179200,1,0,1,0,Driver Inattention/Distraction,,
1/8/2020,11,40.7176800,-73.9982450,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/8/2020,10,40.7590450,-73.9960900,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/8/2020,2,40.7596170,-73.9619750,0,0,0,0,Driver Inattention/Distraction,,
1/8/2020,15,40.7768300,-73.9891360,0,0,0,0,Passing Too Closely,Unspecified,
1/8/2020,8,40.7174100,-73.9840000,0,0,0,0,Unspecified,,
1/8/2020,8,40.7460020,-73.9942700,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/8/2020,19,40.7616100,-73.9903200,1,0,1,0,Driver Inattention/Distraction,,
1/8/2020,0,40.7730330,-73.9822100,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/8/2020,19,40.7221700,-73.9968000,0,0,0,0,Passenger Distraction,Driver Inattention/Distraction,
1/8/2020,17,40.7612100,-73.9668300,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/8/2020,20,40.7621420,-73.9724900,0,0,0,0,Unspecified,Unspecified,
1/8/2020,10,40.7179220,-73.9931000,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
1/8/2020,17,40.7794760,-73.9735800,1,0,1,0,Failure to Yield Right-of-Way,,
1/8/2020,15,40.7663760,-73.9714660,0,0,0,0,Unspecified,,
1/8/2020,22,40.8636900,-73.9170700,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,
1/8/2020,17,40.8071250,-73.9360500,0,0,0,0,Unspecified,Unspecified,
1/8/2020,6,40.7589800,-73.9624400,0,0,0,0,Unsafe Lane Changing,Unspecified,
1/8/2020,20,40.7941780,-73.9448700,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/8/2020,8,40.7557800,-74.0019900,0,0,0,0,Passing Too Closely,Unspecified,
1/8/2020,8,40.8152540,-73.9553300,0,0,0,0,Unspecified,Unspecified,
1/8/2020,6,,,0,0,0,0,Passing or Lane Usage Improper,Unspecified,
1/8/2020,13,40.7472040,-73.9971100,0,0,0,0,Passing Too Closely,Unspecified,
1/8/2020,15,40.8270570,-73.9520200,0,0,0,0,Unsafe Lane Changing,Unspecified,
1/8/2020,14,,,0,0,0,0,Unspecified,,
1/8/2020,13,40.7964700,-73.9612000,0,0,0,0,Unspecified,Unspecified,
1/8/2020,6,40.8220180,-73.9536800,0,0,0,0,Unspecified,Unspecified,
1/8/2020,16,40.7373600,-73.9968500,1,0,0,0,Driver Inattention/Distraction,Unspecified,
1/8/2020,14,40.7736400,-73.9598600,1,0,1,0,Unspecified,,
1/9/2020,13,40.7230220,-73.9988200,1,0,0,0,Passing Too Closely,Unspecified,Unspecified
1/9/2020,19,40.8670120,-73.9231200,1,0,0,0,Turning Improperly,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,
1/9/2020,14,40.7370720,-73.9810300,0,0,0,0,Driver Inattention/Distraction,,
1/9/2020,0,40.7375530,-73.9780600,0,0,0,0,Following Too Closely,Unspecified,
1/9/2020,10,40.7029570,-74.0115100,0,0,0,0,Unspecified,Unspecified,
1/9/2020,15,40.7571220,-73.9719200,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/9/2020,17,40.7774100,-73.9788060,1,0,0,0,Backing Unsafely,Unspecified,
1/9/2020,10,40.7445600,-73.9713750,0,0,0,0,Driver Inattention/Distraction,Unspecified,
1/9/2020,4,40.7348180,-74.0015000,0,0,0,0,Unspecified,,
